Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Haryana,548.94,31,Large,2020-09-14,2,Butter,Mother Dairy,204.65,90.39,18498.31,34,Tetra Pack,2020-08-20,2020-09-23,169.71,98.92,16787.71,Jharkhand,Online,34.94,86.64,180.66
Kerala,14.43,61,Small,2020-07-03,9,Paneer,Passion Cheese,645.31,31.06,20043.33,35,Refrigerated,2020-05-22,2020-06-26,508.81,29.18,14847.08,Kerala,Retail,136.5,49.59,56.38
Uttar Pradesh,721.27,56,Small,2021-07-04,2,Butter,Amul,955.53,96.64,92342.42,48,Polythene Packet,2021-06-03,2021-07-21,124.84,93.99,11733.71,Kerala,Wholesale,830.69,99.51,123.81
Haryana,77.14,49,Small,2021-05-23,4,Yogurt,Dodla Dairy,952.04,85.84,81723.11,64,Tetra Pack,2021-04-17,2021-06-20,193.74,78.71,15249.28,Tamil Nadu,Wholesale,758.3,65.31,21.49
Karnataka,386.23,65,Large,2020-04-04,5,Ice Cream,Passion Cheese,496.47,36.04,17892.78,70,Tetra Pack,2020-03-19,2020-05-28,72.3,35.16,2542.07,Jharkhand,Retail,424.17,19.91,108.53
Kerala,243.1,31,Small,2024-01-30,5,Ice Cream,Sudha,837.96,46.77,39191.39,103,Polythene Packet,2024-01-28,2024-05-10,263.5,46.25,12186.88,Karnataka,Wholesale,574.46,71.73,48.47
Madhya Pradesh,211.92,113,Small,2023-05-26,6,Curd,Dynamix Dairies,346.11,50.18,17367.8,52,Ambient,2023-05-02,2023-06-23,244.37,53.04,12961.38,Maharashtra,Wholesale,101.74,12.75,56.66
West Bengal,266.14,98,Large,2023-03-16,5,Ice Cream,Sudha,625.62,49.49,30961.93,59,Refrigerated,2023-01-21,2023-03-21,227.31,50.22,11415.51,Tamil Nadu,Online,398.31,48.48,47.07
Rajasthan,872.94,58,Medium,2020-01-03,1,Milk,Sudha,88.74,56.9,5049.31,130,Refrigerated,2019-11-04,2020-03-13,27.35,52.29,1430.13,Tamil Nadu,Online,61.39,87.15,152.33
Uttar Pradesh,775.41,78,Medium,2020-06-09,6,Curd,Dynamix Dairies,297.47,79.84,23750.0,127,Tetra Pack,2020-04-26,2020-08-31,1.97,77.64,152.95,Rajasthan,Online,295.5,70.41,81.99
Maharashtra,266.61,105,Large,2021-07-24,4,Yogurt,Sudha,309.41,55.83,17274.36,34,Frozen,2021-06-20,2021-07-24,156.46,61.21,9576.92,Karnataka,Online,152.95,32.53,37.69
Rajasthan,40.83,28,Large,2024-07-03,4,Yogurt,Dynamix Dairies,405.51,21.78,8832.01,98,Frozen,2024-05-08,2024-08-14,27.23,23.02,626.83,Karnataka,Wholesale,378.28,66.26,142.6
Uttar Pradesh,613.06,108,Medium,2019-06-05,5,Ice Cream,Mother Dairy,775.54,75.18,58305.1,8,Ambient,2019-05-16,2019-05-24,204.36,76.28,15588.58,Madhya Pradesh,Retail,571.18,50.48,65.77
Karnataka,515.41,36,Medium,2019-08-28,6,Curd,Sudha,559.97,35.67,19974.13,2,Refrigerated,2019-07-21,2019-07-23,282.22,34.19,9649.1,Madhya Pradesh,Wholesale,277.75,21.79,27.3
Delhi,746.55,109,Medium,2019-07-06,6,Curd,Britannia Industries,966.34,95.04,91840.95,146,Ambient,2019-06-22,2019-11-15,261.27,104.26,27240.01,Bihar,Online,705.07,22.32,45.27
Bihar,21.9,118,Large,2020-01-21,3,Cheese,Mother Dairy,914.15,72.24,66038.2,138,Refrigerated,2019-12-18,2020-05-04,627.36,73.59,46167.42,Telangana,Online,286.79,85.14,118.74
West Bengal,11.64,106,Small,2024-03-14,3,Cheese,Dynamix Dairies,716.65,22.3,15981.3,84,Ambient,2024-02-24,2024-05-18,687.52,20.57,14142.29,Karnataka,Wholesale,29.13,24.66,98.02
Jharkhand,35.69,27,Medium,2020-08-01,6,Curd,Passion Cheese,448.77,90.79,40743.83,18,Polythene Packet,2020-07-31,2020-08-18,358.16,85.55,30640.59,Jharkhand,Online,90.61,80.79,88.69
Jharkhand,290.88,58,Large,2024-04-22,1,Milk,Mother Dairy,699.73,30.21,21138.84,97,Polythene Packet,2024-03-22,2024-06-27,326.53,31.64,10331.41,Bihar,Wholesale,373.2,22.94,72.6
Jharkhand,248.53,95,Medium,2023-02-02,5,Ice Cream,Sudha,882.96,23.74,20961.47,79,Tetra Pack,2022-12-18,2023-03-07,405.22,23.58,9555.09,West Bengal,Online,477.74,93.07,56.36
Gujarat,682.58,111,Medium,2023-08-17,10,Ghee,Sudha,123.61,33.22,4106.32,88,Refrigerated,2023-07-28,2023-10-24,2.9,34.4,99.76,Karnataka,Retail,120.71,93.21,199.44
Chandigarh,637.63,25,Large,2022-10-23,5,Ice Cream,Dynamix Dairies,721.39,50.84,36675.47,118,Polythene Packet,2022-08-31,2022-12-27,232.04,50.59,11738.9,Madhya Pradesh,Online,489.35,40.66,163.55
Uttar Pradesh,103.83,29,Large,2022-06-07,5,Ice Cream,Sudha,363.79,77.07,28037.3,23,Ambient,2022-04-21,2022-05-14,199.34,77.19,15387.05,Haryana,Online,164.45,80.55,63.01
Karnataka,510.11,63,Medium,2020-05-26,1,Milk,Dynamix Dairies,633.69,63.09,39979.5,115,Ambient,2020-05-17,2020-09-09,525.85,64.18,33749.05,Bihar,Wholesale,107.84,14.4,123.53
Haryana,53.1,26,Medium,2022-10-24,5,Ice Cream,Dodla Dairy,383.07,18.43,7059.98,24,Frozen,2022-09-16,2022-10-10,378.66,17.66,6687.14,Maharashtra,Wholesale,4.41,44.48,143.08
Chandigarh,271.61,20,Large,2022-12-13,4,Yogurt,Sudha,374.92,64.79,24291.07,38,Frozen,2022-10-27,2022-12-04,285.35,59.66,17023.98,Bihar,Retail,89.57,90.35,124.87
Madhya Pradesh,474.8,115,Medium,2023-01-10,5,Ice Cream,Sudha,973.1,91.28,88824.57,29,Refrigerated,2022-11-19,2022-12-18,202.51,93.65,18965.06,Telangana,Wholesale,770.59,97.08,88.36
Kerala,298.43,40,Medium,2022-07-20,2,Butter,Sudha,750.98,65.65,49301.84,57,Tetra Pack,2022-07-09,2022-09-04,325.56,59.67,19426.17,Uttar Pradesh,Online,425.42,61.86,99.52
West Bengal,585.75,58,Medium,2023-08-28,3,Cheese,Dynamix Dairies,821.16,67.99,55830.67,119,Tetra Pack,2023-08-06,2023-12-03,227.63,74.36,16926.57,Jharkhand,Online,593.53,86.99,169.25
Karnataka,837.96,46,Large,2024-12-16,7,Lassi,Dodla Dairy,885.19,43.15,38195.95,28,Polythene Packet,2024-11-14,2024-12-12,627.67,41.91,26305.65,Delhi,Online,257.52,82.25,63.24
Uttar Pradesh,687.87,103,Medium,2022-06-06,3,Cheese,Britannia Industries,530.19,77.26,40962.48,46,Ambient,2022-05-23,2022-07-08,55.19,81.84,4516.75,West Bengal,Retail,475.0,39.6,45.31
Bihar,392.03,95,Small,2022-03-07,9,Paneer,Dodla Dairy,827.66,38.16,31583.51,120,Ambient,2022-02-15,2022-06-15,444.61,38.4,17073.02,Delhi,Retail,383.05,67.11,107.85
Telangana,606.33,78,Medium,2023-12-09,6,Curd,Raj,927.82,30.96,28725.31,41,Refrigerated,2023-10-23,2023-12-03,321.92,33.72,10855.14,Kerala,Retail,605.9,95.21,188.33
Haryana,525.21,77,Large,2022-11-06,9,Paneer,Raj,148.67,19.67,2924.34,88,Tetra Pack,2022-09-16,2022-12-13,118.53,21.42,2538.91,Delhi,Wholesale,30.14,64.8,116.81
Delhi,250.13,50,Medium,2023-03-17,1,Milk,Dynamix Dairies,392.71,94.73,37201.42,46,Tetra Pack,2023-02-19,2023-04-06,268.91,102.11,27458.4,Karnataka,Retail,123.8,22.29,144.8
Telangana,45.36,68,Medium,2022-04-20,2,Butter,Dodla Dairy,571.95,87.53,50062.78,53,Refrigerated,2022-03-30,2022-05-22,564.22,90.42,51016.77,Uttar Pradesh,Online,7.73,62.68,194.98
Rajasthan,520.92,95,Small,2024-06-27,6,Curd,Sudha,657.23,94.55,62141.1,12,Refrigerated,2024-04-30,2024-05-12,107.24,91.61,9824.26,Maharashtra,Wholesale,549.99,97.64,55.34
Maharashtra,486.55,120,Medium,2020-05-31,3,Cheese,Passion Cheese,888.59,85.37,75858.93,15,Frozen,2020-05-16,2020-05-31,412.83,80.71,33319.51,Haryana,Retail,475.76,7.58,109.4
Kerala,125.98,23,Large,2023-02-09,8,Buttermilk,Raj,416.18,73.94,30772.35,62,Frozen,2022-12-31,2023-03-03,105.41,69.89,7367.1,Delhi,Retail,310.77,89.61,95.61
Karnataka,747.59,84,Medium,2023-09-22,8,Buttermilk,Amul,403.71,82.72,33394.89,7,Refrigerated,2023-08-18,2023-08-25,262.31,79.78,20927.09,Tamil Nadu,Wholesale,141.4,58.32,99.59
Maharashtra,754.61,58,Large,2024-04-14,4,Yogurt,Mother Dairy,703.96,79.83,56197.13,142,Refrigerated,2024-03-20,2024-08-09,629.89,84.66,53326.49,Delhi,Wholesale,74.07,58.43,66.35
Bihar,299.55,101,Small,2024-09-24,8,Buttermilk,Raj,631.19,94.62,59723.2,85,Refrigerated,2024-08-19,2024-11-12,99.52,96.27,9580.79,Tamil Nadu,Online,531.67,76.42,124.69
Madhya Pradesh,537.57,51,Large,2022-03-27,7,Lassi,Raj,404.89,37.85,15325.09,117,Ambient,2022-02-01,2022-05-29,380.73,39.98,15221.59,Madhya Pradesh,Retail,24.16,85.19,118.55
Delhi,239.28,107,Small,2024-03-13,3,Cheese,Sudha,19.42,99.63,1934.81,93,Frozen,2024-01-28,2024-04-30,7.77,100.3,779.33,Gujarat,Wholesale,11.65,94.97,75.11
Chandigarh,480.38,114,Large,2021-10-28,5,Ice Cream,Sudha,845.82,28.99,24520.32,125,Ambient,2021-10-20,2022-02-22,641.39,28.7,18407.89,Jharkhand,Wholesale,204.43,90.48,76.92
Kerala,666.44,82,Medium,2024-12-22,8,Buttermilk,Amul,424.17,59.25,25132.07,79,Frozen,2024-10-31,2025-01-18,126.47,60.12,7603.38,Maharashtra,Retail,297.7,86.09,174.98
Kerala,753.39,93,Large,2022-12-12,10,Ghee,Mother Dairy,239.56,97.22,23290.02,3,Refrigerated,2022-11-07,2022-11-10,141.24,87.51,12359.91,Karnataka,Wholesale,98.32,95.17,114.63
Haryana,665.19,57,Medium,2022-10-27,9,Paneer,Passion Cheese,945.33,90.74,85779.24,146,Polythene Packet,2022-08-28,2023-01-21,678.53,84.98,57661.48,Madhya Pradesh,Online,266.8,43.49,68.42
Uttar Pradesh,712.63,62,Medium,2023-07-11,7,Lassi,Dodla Dairy,620.78,72.44,44969.3,131,Tetra Pack,2023-07-01,2023-11-09,152.96,72.79,11133.96,Uttar Pradesh,Wholesale,467.82,55.32,179.65
Chandigarh,464.41,80,Medium,2023-03-08,4,Yogurt,Sudha,752.17,48.28,36314.77,48,Refrigerated,2023-01-31,2023-03-20,283.7,46.87,13297.02,West Bengal,Online,468.47,94.71,143.62
Gujarat,213.17,45,Small,2024-05-30,4,Yogurt,Britannia Industries,437.02,12.29,5370.98,12,Frozen,2024-05-13,2024-05-25,66.37,12.49,828.96,Maharashtra,Wholesale,370.65,64.26,78.15
Madhya Pradesh,278.46,84,Large,2024-03-02,7,Lassi,Passion Cheese,338.13,22.33,7550.44,96,Ambient,2024-01-17,2024-04-22,64.89,24.04,1559.96,Rajasthan,Wholesale,273.24,69.64,36.48
Tamil Nadu,794.1,36,Small,2024-09-15,6,Curd,Britannia Industries,90.72,96.54,8758.11,26,Frozen,2024-08-05,2024-08-31,25.06,103.72,2599.22,Chandigarh,Wholesale,65.66,39.4,24.6
Telangana,415.49,75,Medium,2020-04-25,3,Cheese,Britannia Industries,513.38,51.98,26685.49,73,Refrigerated,2020-03-09,2020-05-21,365.71,55.53,20307.88,West Bengal,Retail,147.67,55.06,165.26
Maharashtra,381.31,25,Medium,2022-07-04,1,Milk,Amul,973.14,52.92,51498.57,99,Refrigerated,2022-06-21,2022-09-28,506.72,50.22,25447.48,Telangana,Retail,466.42,31.72,66.09
Bihar,495.3,50,Large,2024-08-30,5,Ice Cream,Sudha,470.53,12.69,5971.03,71,Tetra Pack,2024-07-13,2024-09-22,328.62,12.6,4140.61,Uttar Pradesh,Wholesale,141.91,56.07,81.0
Maharashtra,68.58,72,Small,2023-02-06,10,Ghee,Passion Cheese,46.04,53.61,2468.2,80,Polythene Packet,2022-12-30,2023-03-20,25.8,55.16,1423.13,Chandigarh,Retail,20.24,8.11,79.83
Bihar,44.89,99,Small,2022-11-20,6,Curd,Britannia Industries,299.92,49.7,14906.02,53,Refrigerated,2022-09-28,2022-11-20,108.16,47.51,5138.68,Chandigarh,Online,191.76,48.8,109.17
Madhya Pradesh,410.82,29,Medium,2020-07-24,6,Curd,Amul,463.0,34.23,15848.49,87,Tetra Pack,2020-07-23,2020-10-18,369.56,35.49,13115.68,West Bengal,Wholesale,93.44,88.57,91.35
Uttar Pradesh,99.25,116,Medium,2022-05-21,5,Ice Cream,Mother Dairy,839.88,63.82,53601.14,46,Refrigerated,2022-04-27,2022-06-12,833.49,64.69,53918.47,Delhi,Wholesale,6.39,65.7,105.99
Bihar,896.2,61,Small,2020-01-19,2,Butter,Raj,208.79,89.26,18636.6,71,Ambient,2019-12-27,2020-03-07,34.75,85.64,2975.99,Karnataka,Retail,174.04,12.16,152.27
Bihar,650.02,95,Small,2022-09-03,9,Paneer,Sudha,671.88,74.96,50364.12,87,Ambient,2022-07-23,2022-10-18,547.79,70.91,38843.79,Madhya Pradesh,Wholesale,124.09,16.05,101.57
Karnataka,814.79,61,Large,2023-10-01,9,Paneer,Dynamix Dairies,935.22,52.77,49351.56,65,Polythene Packet,2023-09-21,2023-11-25,356.17,55.2,19660.58,Uttar Pradesh,Wholesale,579.05,34.22,82.98
Bihar,527.91,111,Medium,2024-05-23,5,Ice Cream,Sudha,53.19,83.99,4467.43,149,Refrigerated,2024-04-09,2024-09-05,13.15,87.0,1144.05,Haryana,Wholesale,40.04,98.35,184.29
Kerala,625.72,55,Medium,2023-07-21,9,Paneer,Passion Cheese,137.85,27.29,3761.93,47,Refrigerated,2023-05-28,2023-07-14,29.27,29.41,860.83,Delhi,Retail,108.58,16.57,64.82
Rajasthan,380.09,114,Large,2022-05-23,6,Curd,Dodla Dairy,119.52,19.61,2343.79,16,Tetra Pack,2022-05-01,2022-05-17,22.85,21.38,488.53,Maharashtra,Retail,96.67,37.02,48.9
Maharashtra,371.64,43,Small,2021-10-27,9,Paneer,Dodla Dairy,602.12,55.83,33616.36,149,Ambient,2021-10-24,2022-03-22,500.97,55.0,27553.35,Tamil Nadu,Wholesale,101.15,52.68,138.4
Maharashtra,580.67,41,Small,2022-01-01,10,Ghee,Passion Cheese,639.07,49.25,31474.2,33,Polythene Packet,2021-12-13,2022-01-15,429.52,50.82,21828.21,Delhi,Wholesale,209.55,80.39,44.2
Uttar Pradesh,411.43,100,Large,2023-12-12,5,Ice Cream,Dodla Dairy,365.78,90.4,33066.51,76,Ambient,2023-12-10,2024-02-24,242.53,92.4,22409.77,Kerala,Online,123.25,26.72,30.77
Rajasthan,492.08,48,Medium,2023-02-19,9,Paneer,Sudha,713.31,79.39,56629.68,72,Refrigerated,2023-01-20,2023-04-02,121.44,80.15,9733.42,Jharkhand,Wholesale,591.87,64.91,87.21
Jharkhand,233.72,34,Small,2022-08-20,4,Yogurt,Amul,653.12,53.72,35085.61,51,Frozen,2022-06-24,2022-08-14,505.93,48.88,24729.86,Haryana,Wholesale,147.19,7.68,170.12
